MFG_ID,MFG_NAME,DISTINCT_NUMBER_OF_RECIPIENTS,DISTINCT_NUMBER_OF_RECPS_GILEAD,COMMON_NUM_OF_RECPS,PERC_OF_RECIPIENTS_GILEAD
1E+11,"Spine Wave, Inc.",244,16657,0,0
1E+11,"Affordable Pharmaceuticals, Llc",2,16657,0,0
1E+11,"Omnilife Science, Inc",94,16657,0,0
1E+11,"Aptis Medical, Llc",2,16657,0,0
1E+11,Seapearl Inc,99,16657,0,0
1E+11,Biocomposites Inc,370,16657,3,0.0081
1E+11,Nobel Biocare Usa,6207,16657,7,0.0011
1E+11,"Crossroads Orthopedics, Llc",75,16657,1,0.0133
1E+11,Micromed Inc,72,16657,0,0
1E+11,"Ivoclar Vivadent, Inc.",237,16657,0,0
1E+11,Canon Medical Research  Usa Inc.,3,16657,0,0
1E+11,Gentleman Orthopedic Solutions,79,16657,0,0
1E+11,Bolder Surgical Llc,176,16657,1,0.0057
1E+11,"Meisinger Usa, Llc",109,16657,0,0
1E+11,"Rock Medical Orthopedics, Inc.",145,16657,1,0.0069
1E+11,Medical Graphics Corporation,24,16657,5,0.2083
1E+11,Orthalign Inc,127,16657,0,0
1E+11,Avinger Inc.,222,16657,17,0.0766
1E+11,"4Web, Inc.",176,16657,0,0
1E+11,"Mercator Medsystems, Inc.",9,16657,2,0.2222
1E+11,Biotronik Inc.,3384,16657,461,0.1362
1E+11,"Penumbra, Inc.",2525,16657,131,0.0519
1E+11,Ipsen Biopharm Limited,4,16657,0,0
1E+11,"Nonin Medical, Inc.",9,16657,1,0.1111
1E+11,"Owens & Minor Distribution, Inc.",2,16657,1,0.5
1E+11,Olea Medical,4,16657,0,0
1E+11,Erbe Usa Inc,206,16657,70,0.3398
1E+11,"Sensus Healthcare, Inc.",150,16657,2,0.0133
1E+11,"Precision Spine, Inc.",86,16657,0,0
1E+11,Cas Medical Systems Inc.,17,16657,0,0
1E+11,Medivators Inc.,21,16657,11,0.5238
1E+11,Tulsa Dental Products Llc,1459,16657,1,0.0007
1E+11,Amerisourcebergen Drug Corporation,15,16657,5,0.3333
1E+11,"Kyowa Kirin, Inc.",1804,16657,331,0.1835
1E+11,"New World Medical,Inc.",687,16657,0,0
1E+11,Clinician'S Choice Dental Products Inc.,14,16657,0,0
1E+11,"Ss White Burs, Inc.",166,16657,0,0
1E+11,Tokuyama Dental America Inc.,22,16657,0,0
1E+11,Boehringer Ingelheim B.V.,2,16657,0,0
1E+11,"Heidelberg Engineering, Inc.",91,16657,6,0.0659
1E+11,Apo-Pharma Inc.,9,16657,0,0
1E+11,Corindus Inc.,238,16657,22,0.0924
1E+11,"Beaver-Visitec International, Inc.",102,16657,0,0
1E+11,"Karl Storz Imaging, Inc.",3,16657,1,0.3333
1E+11,Dentsply Sirona Orthodontics Inc,1517,16657,5,0.0033
1E+11,Monaghan Medical Corporation,51,16657,17,0.3333
1E+11,Edwards Lifesciences Corporation,6699,16657,592,0.0884
1E+11,"New York Blood Center, Inc.",7,16657,4,0.5714
1E+11,Leica Microsystems Inc.,237,16657,2,0.0084
1E+11,"Intersect Ent, Inc.",2602,16657,12,0.0046
1E+11,Maillefer Instruments Holding Sarl,8,16657,0,0
1E+11,"Karl Storz Endoscopia Mexico, S.A.",2,16657,0,0
1E+11,Hf Acquisition Co. Llc,5,16657,0,0
1E+11,"Den-Mat Holdings, Llc",11,16657,0,0
1E+11,"Topcon Medical Systems, Inc.",191,16657,0,0
1E+11,Theragenics Corporation,20,16657,0,0
1E+11,Astellas Pharma Inc,24,16657,2,0.0833
1E+11,"Tandem Diabetes Care, Inc.",1418,16657,133,0.0938
1E+11,Midsouth Orthopedics,105,16657,0,0
1E+11,"Nuvasive, Inc.",1897,16657,16,0.0084
1E+11,Mckesson Corporation,17,16657,4,0.2353
1E+11,Icu Medical Inc,17,16657,2,0.1176
1E+11,"Terumo Bct, Inc.",260,16657,9,0.0346
1E+11,Boehringer Ingelheim Korea Ltd.,1,16657,0,0
1E+11,Boehringer Ingelheim Hong Kong Ltd,1,16657,0,0
1E+11,Boehringer Ingelheim Taiwan Ltd.,1,16657,0,0
1E+11,"Valneva Usa, Inc.",20,16657,6,0.3
1E+11,Ipsen Pharma Sas,4,16657,0,0
1E+11,Dentsply Us Prosthetics Llc,27,16657,0,0
1E+11,Olympus Winter & Ibe Gmbh,2,16657,0,0
1E+11,Dentsply Llc,510,16657,1,0.002
1E+11,"Lemaitre Vascular, Inc.",826,16657,14,0.0169
1E+11,Dentsply Ih Inc.,2907,16657,5,0.0017
1E+11,Abbott Laboratories,23934,16657,1854,0.0775
1E+11,Ony Biotech Inc.,11,16657,1,0.0909
1E+11,Dentsply Canada Ltd,4,16657,0,0
1E+11,"Titan Spine, Llc",137,16657,8,0.0584
1E+11,"Vertiflex, Inc.",1897,16657,73,0.0385
1E+11,"Neuropace, Inc.",346,16657,0,0
1E+11,"Blue Sky Bio, Llc",2,16657,0,0
1E+11,"Octapharma Usa, Inc.",830,16657,109,0.1313
1E+11,Dental Imaging Technologies Corp.,62,16657,0,0
1E+11,"Argon Medical Devices, Inc.",389,16657,4,0.0103
1E+11,Topcon Corporation,2,16657,0,0
1E+11,"Alk-Abello, Inc",2087,16657,40,0.0192
1E+11,"Fresenius Kabi Usa, Llc",113,16657,5,0.0442
1E+11,Alpha Orthopedic Systems,202,16657,0,0
1E+11,"Geistlich Pharma, North America, Inc.",866,16657,0,0
1E+11,Captiva Spine Inc,26,16657,0,0
1E+11,"Ortho Organizers, Inc.",907,16657,0,0
1E+11,Halozyme Inc,114,16657,2,0.0175
1E+11,"Life Spine, Inc.",96,16657,1,0.0104
1E+11,Vioptix Inc,37,16657,0,0
1E+11,Nidek Incorporated,6,16657,1,0.1667
1E+11,"Otsuka America Pharmaceutical, Inc.",13505,16657,594,0.044
1E+11,"Maquet Cardiovascular U.S. Sales, L.L.C.",989,16657,34,0.0344
1E+11,"Otsuka Pharmaceutical Development & Commercialization, Inc.",1021,16657,19,0.0186
1E+11,Orthopediatrics Corp.,166,16657,7,0.0422
1E+11,Guerbet Llc,78,16657,0,0
1E+11,Boehringer Ingelheim Shanghai Pharmaceuticals Co Ltd.,1,16657,0,0
1E+11,Roche Diagnostics International Ltd,16,16657,2,0.125
1E+11,United Therapeutics Corporation,2049,16657,593,0.2894
1E+11,Abiomed,4699,16657,485,0.1032
1E+11,"Lima Usa, Inc.",205,16657,0,0
1E+11,Photocure Inc,467,16657,0,0
1E+11,"Central California Surgical Distributors, Llc",1,16657,0,0
1E+11,"Alpine Implant Alliance, Llc",2,16657,0,0
1E+11,Tactile Systems Technology Inc,3209,16657,209,0.0651
1E+11,"Encore Medical, Lp",668,16657,3,0.0045
1E+11,"Rikco International, Llc",216,16657,1,0.0046
1E+11,"Siemens Medical Solutions Usa, Inc.",2474,16657,133,0.0538
1E+11,"Freudenberg Medical, Llc",6,16657,0,0
1E+11,Diagnostica Stago Sas,1,16657,0,0
1E+11,"Hiossen, Inc.",40,16657,0,0
1E+11,Midmark Corporation,114,16657,1,0.0088
1E+11,"Mckesson Medical-Surgical, Inc.",26,16657,0,0
1E+11,Pulpdent Corporation,136,16657,0,0
1E+11,Ucb Sa,101,16657,5,0.0495
1E+11,"W. L. Gore & Associates, Inc.",4645,16657,110,0.0237
1E+11,Ucb Gmbh,12,16657,0,0
1E+11,Phadia Ab,2,16657,0,0
1E+11,Ucb Biosciences Inc.,53,16657,8,0.1509
1E+11,"Remel, Inc.",4,16657,1,0.25
1E+11,Atrium Medical Corporation,10,16657,0,0
1E+11,"Derma Sciences, Inc.",436,16657,2,0.0046
1E+11,"One Lambda, Inc.",5,16657,0,0
1E+11,Microgenics Corporation,6,16657,1,0.1667
1E+11,Fisher Scientific Company L.L.C.,36,16657,6,0.1667
1E+11,Iscreen Vision Inc.,1,16657,0,0
1E+11,Life Technologies Corporation,1,16657,0,0
1E+11,Carter Bloodcare,9,16657,0,0
1E+11,"Acorda Therapeutics, Inc",2983,16657,42,0.0141
1E+11,"Highline Surgical Solutions, Llc",5,16657,0,0
1E+11,"180 Medical, Inc.",1026,16657,2,0.0019
1E+11,"Tolmar, Inc.",1,16657,0,0
1E+11,"Qol Medical, Llc",2266,16657,1185,0.5229
1E+11,"Cvrx, Inc.",157,16657,15,0.0955
1E+11,"Parsolex Gmp Center, Inc.",1,16657,0,0
1E+11,"Marine Polymer Technologies, Inc.",2,16657,0,0
1E+11,"Actelion Pharmaceuticals Us, Inc.",5499,16657,1291,0.2348
1E+11,Osteomed Llc,522,16657,4,0.0077
1E+11,"Spineguard, Inc.",15,16657,0,0
1E+11,"The Cameron-Ehlen Group, Inc.",238,16657,0,0
1E+11,Boehringer Ingelheim Pharma Gmbh & Co.Kg,23,16657,1,0.0435
1E+11,Boehringer Ingelheim Rcv Gmbh & Co Kg,2,16657,0,0
1E+11,"Asahi Intecc Co., Ltd.",8,16657,0,0
1E+11,"Vertebral Technologies, Inc.",5,16657,0,0
1E+11,"Clinical Technology, Inc",4,16657,0,0
1E+11,"Diagnostica Stago, Inc",2,16657,0,0
1E+11,"Afaxys, Inc.",1,16657,1,1
1E+11,Transonic Systems Inc.,1,16657,0,0
1E+11,Artegraft Inc.,13,16657,0,0
1E+11,Datascope Corp.,3,16657,0,0
1E+11,Dmg America Llc,86,16657,0,0
1E+11,Zoll Medical Corporation,172,16657,27,0.157
1E+11,"Konica Minolta Healthcare Americas, Inc",27,16657,2,0.0741
1E+11,"Varian Medical Systems, Inc.",786,16657,25,0.0318
1E+11,"Pernix Therapeutics Holdings, Inc.",301,16657,7,0.0233
1E+11,"Cardiva Medical, Inc.",529,16657,41,0.0775
1E+11,Visioncare Inc.,3,16657,0,0
1E+11,Medivation Inc.,9,16657,2,0.2222
1E+11,Hitachi Healthcare Americas Corp.,94,16657,4,0.0426
1E+11,"Chiesi Usa, Inc.",3590,16657,499,0.139
1E+11,Digirad Corporation,6,16657,1,0.1667
1E+11,Maquet Cardiovascular L.L.C.,4,16657,0,0
1E+11,"Akorn, Inc.",264,16657,1,0.0038
1E+11,"Apo-Pharma Usa, Inc.",32,16657,14,0.4375
1E+11,"Bio Products Laboratory Usa, Inc.",233,16657,19,0.0815
1E+11,"Fort Worth Surgical Supply, Llc",1,16657,0,0
1E+11,"Valeritas, Inc.",1668,16657,191,0.1145
1E+11,"North Alabama Surgical Services, Llc",3,16657,0,0
1E+11,"Beckman Coulter, Inc.",225,16657,11,0.0489
1E+11,"Metric Medical Devices, Inc.",32,16657,0,0
1E+11,"S. Alabama Surgical Services, Llc",4,16657,0,0
1E+11,"San Francisco Surgical Services, Llc",2,16657,0,0
1E+11,Osteoready Llc,85,16657,0,0
1E+11,Sign Fracture Care International,2,16657,0,0
1E+11,"Sunquest Information Systems, Inc.",10,16657,1,0.1
1E+11,"Takeda Pharmaceutical Company, Limited",12,16657,0,0
1E+11,Boehringer Ingelheim Malaysia Sdn. Bhd.,2,16657,1,0.5
1E+11,"Endocare, Inc.",67,16657,0,0
1E+11,"Vgi Medical, Llc",9,16657,0,0
1E+11,"Insightec,Inc",48,16657,1,0.0208
1E+11,"Insightec,Ltd",16,16657,1,0.0625
1E+11,"Dornier Medtech America, Inc",199,16657,0,0
1E+11,Belmont Instrument Llc,4,16657,2,0.5
1E+11,"Fujirebio Diagnostics, Incorporated",21,16657,2,0.0952
1E+11,Sirtex Medical Inc,1031,16657,132,0.128
1E+11,"Asd Specialty Healthcare, Llc",142,16657,34,0.2394
1E+11,"Amniox Medical, Inc.",543,16657,3,0.0055
1E+11,Cepheid,116,16657,9,0.0776
1E+11,"Bausch Health Us, Llc",3484,16657,243,0.0697
1E+11,"Amag Pharmaceuticals, Inc.",7923,16657,536,0.0677
1E+11,"Innovative Medical Products, Inc.",3,16657,0,0
1E+11,Integra Lifesciences Corporation,5463,16657,40,0.0073
1E+11,Galen Us Inc,150,16657,1,0.0067
1E+11,Baylis Medical Company Inc,107,16657,7,0.0654
1E+11,Kadmon Pharmaceuticals Llc,14,16657,4,0.2857
1E+11,Specialty Surgical Instrumentation,3,16657,0,0
1E+11,"Thrombogenics, Inc.",50,16657,1,0.02
1E+11,"Endogastric Solutions, Inc",484,16657,102,0.2107
1E+11,"Paragon 28, Inc.",1348,16657,2,0.0015
1E+11,"Maculogix, Inc.",1465,16657,0,0
1E+11,Kadmon Corporation Llc,3,16657,0,0
1E+11,"Lumenis, Inc",97,16657,0,0
1E+11,Pulmonx Corporation,698,16657,117,0.1676
1E+11,"Exactech, Inc.",528,16657,13,0.0246
1E+11,"Silk Road Medical, Inc.",1555,16657,24,0.0154
1E+11,"Topera, Inc.",10,16657,1,0.1
1E+11,"Par Pharmaceutical, Inc.",3,16657,1,0.3333
1E+11,"Ascension Orthopedics, Inc.",22,16657,0,0
1E+11,"Optovue, Inc.",1062,16657,0,0
1E+11,Promius Pharma Llc,1690,16657,47,0.0278
1E+11,Med-El Corporation,171,16657,11,0.0643
1E+11,"Kulzer, Llc",1274,16657,1,0.0008
1E+11,"Omniguide, Inc.",7,16657,3,0.4286
1E+11,"Corelink, Llc",93,16657,0,0
1E+11,"Nutech Spine, Inc.",7,16657,0,0
1E+11,"Ninepoint Medical, Inc.",3,16657,2,0.6667
1E+11,Fisher & Paykel Healthcare Limited,21,16657,1,0.0476
1E+11,"Wound Management Technologies, Inc",335,16657,2,0.006
1E+11,Baxter Healthcare,4019,16657,71,0.0177
1E+11,Invacare Corporation,1,16657,0,0
1E+11,"Mis Implants Technologies, Inc.",162,16657,0,0
1E+11,"Advanced Critical Devices, Inc.",10,16657,0,0
1E+11,Galt Medical,23,16657,0,0
1E+11,Analogic Corporation,38,16657,0,0
1E+11,Edap Technomed Inc,12,16657,0,0
1E+11,"Mauna Kea Technologies, Inc.",163,16657,49,0.3006
1E+11,Ekos Corporation,1703,16657,115,0.0675
1E+11,Bracco Diagnostics Inc.,142,16657,18,0.1268
1E+11,Almirall Llc,2427,16657,8,0.0033
1E+11,Evergreen Orthopedic Research Lab Llc,1,16657,0,0
1E+11,Teleflex Medical Incorporated,11,16657,2,0.1818
1E+11,"Arrow International, Inc.",97,16657,13,0.134
1E+11,"Doxa Dental, Inc.",14,16657,0,0
1E+11,"Consensus Orthopedics, Inc.",27,16657,0,0
1E+11,"Radiometer America, Inc",26,16657,0,0
1E+11,"Dusa Pharmaceuticals, Inc.",1678,16657,0,0
1E+11,Elekta Limited,5,16657,0,0
1E+11,"Icad, Inc",24,16657,0,0
1E+11,Orion Corporation,3,16657,0,0
1E+11,Circassia Pharmaceuticals Inc,3960,16657,545,0.1376
1E+11,Ermi Inc.,846,16657,5,0.0059
1E+11,Emergent Biosolutions Inc.,418,16657,21,0.0502
1E+11,"Medshape, Inc.",72,16657,0,0
1E+11,"Btg International, Inc.",394,16657,29,0.0736
1E+11,"Biocompatibles, Inc.",1873,16657,129,0.0689
1E+11,Recordati_Rare_Diseases_Inc.,11,16657,1,0.0909
1E+11,Btg International Canada Inc.,23,16657,0,0
1E+11,Biocompatibles Uk Ltd,14,16657,0,0
1E+11,"Medicrea Usa, Corp.",153,16657,0,0
1E+11,"Veran Medical Technologies, Inc.",522,16657,66,0.1264
1E+11,Snap Diagnostics Llc,21,16657,4,0.1905
1E+11,Benvenue Medical Inc,17,16657,0,0
1E+11,"Deltex Medical, Sc, Inc.",9,16657,2,0.2222
1E+11,Kedrion Biopharma Inc.,80,16657,4,0.05
1E+11,"Paradigm Spine, Llc",30,16657,0,0
1E+11,Spineart Usa Inc,112,16657,0,0
1E+11,Shofu Dental Corp,101,16657,0,0
1E+11,Team_Makena_Llc,134,16657,1,0.0075
1E+11,"Sequoia Surgical Distributors, Llc",2,16657,0,0
1E+11,Terumo Cardiovascular Systems Corporation,117,16657,0,0
1E+11,"Si-Bone, Inc.",2831,16657,38,0.0134
1E+11,Skeletal Dynamics Inc,382,16657,3,0.0079
1E+11,"Joimax, Inc.",15,16657,0,0
1E+11,"Tissuetech, Inc.",2693,16657,4,0.0015
1E+11,"Iroko Pharmaceuticals, Llc",51,16657,5,0.098
1E+11,Spectrum Pharmaceuticals Inc.,227,16657,93,0.4097
1E+11,"Elekta, Inc.",234,16657,14,0.0598
1E+11,"Optinose Us, Inc.",4722,16657,154,0.0326
1E+11,"Genesys Orthopedics Systems, L.L.C.",23,16657,0,0
1E+11,Visionary Optics Llc,18,16657,0,0
1E+11,"Alphatec Spine, Inc",412,16657,0,0
1E+11,Materialise Nv,4,16657,0,0
1E+11,Elekta Instrument Ab,5,16657,2,0.4
1E+11,"Think Surgical, Inc.",27,16657,0,0
1E+11,"Collagen Matrix, Inc",5,16657,0,0
1E+11,"Biofire Diagnostics, Llc",381,16657,65,0.1706
1E+11,"Electromed, Inc.",1558,16657,370,0.2375
1E+11,"Supernus Pharmaceuticals, Inc.",5936,16657,199,0.0335
1E+11,"Patterson Companies, Inc.",2419,16657,0,0
1E+11,Voco America Inc.,2136,16657,0,0
1E+11,Boehringer Ingelheim Singapore Pte. Ltd.,2,16657,1,0.5
1E+11,"Romark Laboratories, Lc",1212,16657,560,0.462
1E+11,Jubilant Draximage Inc.,5,16657,2,0.4
1E+11,Swan Valley Medical Incorporated,5,16657,0,0
1E+11,"Spinefrontier, Inc.",30,16657,0,0
1E+11,Menicon,200,16657,0,0
1E+11,"Sobi, Inc",4548,16657,172,0.0378
1E+11,Kaneka Pharma America Llc,42,16657,0,0
1E+11,"Mercury Enterprises, Inc.",1,16657,0,0
1E+11,"International Rehabilitative Sciences, Inc",14,16657,0,0
1E+11,"Leadiant Biosciences, Inc.",56,16657,10,0.1786
1E+11,Dentium Usa,9,16657,0,0
1E+11,"Dental Health Products, Inc.",127,16657,0,0
1E+11,Integer Holdings Corporation,11,16657,0,0
1E+11,"Mobius Therapeutics, Llc",5,16657,0,0
1E+11,"Vertical Pharmaceuticals, Llc",6326,16657,121,0.0191
1E+11,"Primo Medical Group, Inc. (F.K.A. Std Med Inc.)",1,16657,0,0
1E+11,"Medtec, Inc.",1,16657,0,0
1E+11,"Pierre Fabre Pharmaceuticals, Inc.",250,16657,2,0.008
1E+11,"Amendia, Inc.",28,16657,0,0
1E+11,"Pari Respiratory Equipment, Inc.",23,16657,14,0.6087
1E+11,Xoran Technologies,56,16657,1,0.0179
1E+11,"Planmeca Usa, Inc.",320,16657,0,0
1E+11,Spineology Inc.,297,16657,0,0
1E+11,"Medistim Usa, Inc.",32,16657,0,0
1E+11,"Arteriocyte Medical Systems, Inc.",408,16657,0,0
1E+11,Coloplast Corp,3663,16657,27,0.0074
1E+11,Innovasis Inc,76,16657,0,0
1E+11,Jubilant Hollisterstier Llc,38,16657,0,0
1E+11,Mevion_Medical_Systems_Inc,18,16657,0,0
1E+11,"Organ Recovery Systems, Inc.",2,16657,1,0.5
1E+11,"Greer Laboratories, Inc.",278,16657,7,0.0252
1E+11,Fresenius Usa Inc.,1,16657,0,0
1E+11,Tris Pharma Inc,5370,16657,34,0.0063
1E+11,Nsk America Corporation,15,16657,0,0
1E+11,B2D Marketing,58,16657,0,0
1E+11,"Cranial Technologies, Inc",4789,16657,126,0.0263
1E+11,"Vilex In Tennessee, Inc.",9,16657,0,0
1E+11,"Asahi Kasei Medical Co., Ltd.",1,16657,0,0
1E+11,"Total Joint Orthopedics, Inc.",85,16657,0,0
1E+11,Flower Orthopedics Coporation,62,16657,0,0
1E+11,Apollo Endosurgery Us Inc,327,16657,57,0.1743
1E+11,"Vertos Medical, Inc.",640,16657,11,0.0172
1E+11,Osmotica Pharmaceutical Corp.,41,16657,0,0
1E+11,Tei Biosciences Inc,697,16657,2,0.0029
1E+11,Edge Endo Llc,47,16657,0,0
1E+11,Kettenbach Lp,104,16657,0,0
1E+11,"Grace Medical, Inc.",37,16657,0,0
1E+11,"Conventus Orthopaedics, Inc.",13,16657,0,0
1E+11,"Second Sight Medical Products, Inc.",11,16657,0,0
1E+11,Spacelabs Healthcare Inc,9,16657,0,0
1E+11,"Vasamed, Inc",1,16657,0,0
1E+11,Urogpo Llc,45,16657,0,0
1E+11,Scanlan International Inc,13,16657,1,0.0769
1E+11,"Acell, Inc.",2707,16657,43,0.0159
1E+11,"Pajunk Medical Systems, Lp",118,16657,0,0
1E+11,"Rgh Enterprises, Inc.",108,16657,2,0.0185
1E+11,Scican Inc,241,16657,0,0
1E+11,Sechrist Industries Inc,1,16657,0,0
1E+11,Apyx Medical Corporation,539,16657,1,0.0019
1E+11,"Actuated Medical, Inc.",1,16657,0,0
1E+11,"Ulrich Medical Usa, Inc.",82,16657,0,0
1E+11,"Oasis Medical, Inc.",71,16657,0,0
1E+11,"Us Implant Solutions, Llc",16,16657,0,0
1E+11,Vitrolife Inc.,25,16657,0,0
1E+11,"Alimera Sciences, Inc.",839,16657,5,0.006
1E+11,Biom'Up Sa,442,16657,11,0.0249
1E+11,Coltene Whaledent Inc.,684,16657,0,0
1E+11,"Illumina, Inc.",4,16657,1,0.25
1E+11,"Orexo Us, Inc.",1197,16657,162,0.1353
1E+11,Shire North American Group Inc,32294,16657,2546,0.0788
1E+11,Miromatrix Medical Inc.,21,16657,0,0
1E+11,"Retrophin, Inc.",2829,16657,46,0.0163
1E+11,"Ethicon Us, Llc",7845,16657,350,0.0446
1E+11,"Inspire Medical Systems, Inc.",475,16657,12,0.0253
1E+11,Acteon Inc,180,16657,0,0
1E+11,Drake Precision Dental Lab,3,16657,0,0
1E+11,Misonix Inc,1248,16657,9,0.0072
1E+11,Steelhead Surgical Inc,146,16657,0,0
1E+11,"Konan Medical Usa, Inc.",27,16657,0,0
1E+11,"Immucor, Inc.",9,16657,2,0.2222
1E+11,Ferring Pharmaceuticals Pty Ltd,1,16657,0,0
1E+11,Elevate Oral Care,210,16657,0,0
1E+11,"Medexus Pharma, Inc.",727,16657,88,0.121
1E+11,Summit Surgical Corp.,51,16657,0,0
1E+11,Ferring Pharmaceuticals (Asia) Co. Ltd.,2,16657,0,0
1E+11,Cochlear Bone Anchored Solutions Ab,6,16657,0,0
1E+11,Alcon Grieshaber Ag,1,16657,0,0
1E+11,Ferring Pharmaceuticals Sa Rep Office Middle East,1,16657,0,0
1E+11,Sysmex Inostics Inc,10,16657,3,0.3
1E+11,Lightscalpel Llc,2,16657,0,0
1E+11,Ferring Inc.,1,16657,0,0
1E+11,B. Braun Medical Oy,1,16657,0,0
1E+11,B. Braun Medical Uk Ltd.,5,16657,0,0
1E+11,"Grifols Diagnostic Solutions, Inc.",29,16657,0,0
1E+11,"Arkray Usa, Inc.",3,16657,0,0
1E+11,"Steris Instrument Management Services, Inc.",13,16657,4,0.3077
1E+11,Boehringer Ingelheim Do Brasil Quimica E Farmaceutical Ltda.,2,16657,0,0
1E+11,"Eagle Pharmaceuticals, Inc.",99,16657,4,0.0404
1E+11,Admedus Corporation,22,16657,0,0
1E+11,"Sotera Wireless, Inc.",4,16657,0,0
1E+11,Ibsa Institut Biochimique Sa,1,16657,1,1
1E+11,Boehringer Ingelheim Mena (Scientific Office) Fz-Llc,4,16657,0,0
1E+11,"Numed For Children, Llc",3,16657,0,0
1E+11,"Ziehm Imaging, Inc.",26,16657,0,0
1E+11,"Degen Medical, Inc.",8,16657,0,0
1E+11,"Veniti, Inc.",1,16657,0,0
1E+11,B. Braun Melsungen Ag,4,16657,0,0
1E+11,"Biodelivery Sciences International, Inc.",2534,16657,72,0.0284
1E+11,Carl Zeiss Meditec Ag,4,16657,0,0
1E+11,"Choice Spine, Llc",109,16657,1,0.0092
1E+11,Teleflex Incorporated,5,16657,3,0.6
1E+11,"Sagent Pharmaceuticals, Inc.",55,16657,0,0
1E+11,"Arrow Interventional, Inc.",3,16657,0,0
1E+11,"Ortho Technology, Inc",8,16657,0,0
1E+11,Sebela Pharmaceuticals Inc.,707,16657,28,0.0396
1E+11,"Impedimed, Inc.",8,16657,1,0.125
1E+11,Dentsply Sirona Pty Limited,2,16657,0,0
1E+11,"Gm Pharmaceuticals, Inc.",4,16657,0,0
1E+11,Microport Orthopedics Inc,210,16657,3,0.0143
1E+11,Nexxt Spine Llc,35,16657,0,0
1E+11,Vapotherm Inc,1095,16657,34,0.0311
1E+11,"Henry Schein Medical Systems, Inc.",5,16657,0,0
1E+11,Hexal Ag,6,16657,0,0
1E+11,Vanda Pharmaceuticals Inc.,3657,16657,122,0.0334
1E+11,Theratechnologies Inc.,909,16657,727,0.7998
1E+11,Reliance Medical Systems,1,16657,0,0
1E+11,"Kaleo, Inc.",5973,16657,133,0.0223
1E+11,"Tolmar Pharmaceuticals, Inc.",1717,16657,97,0.0565
1E+11,"Saphena Medical, Inc.",7,16657,0,0
1E+11,Nanovis Llc,15,16657,0,0
1E+11,Tei Medical Inc.,335,16657,1,0.003
1E+11,American National Red Cross,44,16657,5,0.1136
1E+11,Neotract Inc.,2503,16657,18,0.0072
1E+11,Avanos Medical,3372,16657,14,0.0042
1E+11,"Ocular Therapeutix, Inc.",699,16657,1,0.0014
1E+11,"Gi Supply, Inc.",21,16657,4,0.1905
1E+11,"Antares Pharma, Inc.",4692,16657,556,0.1185
1E+11,Sirona Dental Systems Inc.,1789,16657,5,0.0028
1E+11,"Parapro, Llc",4,16657,1,0.25
1E+11,Uoc Usa Inc,52,16657,0,0
1E+11,"Ablative Solutions, Inc.",16,16657,3,0.1875
1E+11,"Innovative Medical Devices, Inc.",2,16657,0,0
1E+11,Dne Llc,25,16657,0,0
1E+11,Dentsply Ih Uk,1,16657,0,0
1E+11,"Osteoremedies, Llc",57,16657,1,0.0175
1E+11,"Providence Medical Technology, Inc.",363,16657,2,0.0055
1E+11,Cochlear Ag,2,16657,0,0
1E+11,Daiichi Sankyo Europe Gmbh,3,16657,2,0.6667
1E+11,Sony Electronics Inc.,2,16657,0,0
1E+11,Vifor (International) Ltd.,6,16657,2,0.3333
1E+11,Myotronics Noromed Inc,3,16657,0,0
1E+11,Clariance Sas,10,16657,0,0
1E+11,Vericel Corporation,823,16657,4,0.0049
1E+11,Sonendo Inc,1296,16657,0,0
1E+11,Spirus Medical Llc,1,16657,0,0
1E+11,Swedish Orphan Biovitrum Ab,17,16657,2,0.1176
1E+11,Centrix Inc,329,16657,0,0
1E+11,"Silvergate Pharmaceuticals, Inc.",67,16657,2,0.0299
1E+11,"Collaborative Care Diagnostics, Llc",18,16657,0,0
1E+11,"Radlink, Inc",3,16657,0,0
1E+11,"Civatech Oncology, Inc.",8,16657,0,0
1E+11,"Southern Spine, Llc",6,16657,0,0
1E+11,"North Shore Surgical Services, Llc",1,16657,0,0
1E+11,"Spinesmith Holdings, Llc",84,16657,1,0.0119
1E+11,Ortho Solutions Inc,48,16657,0,0
1E+11,Gauss Surgical Inc.,28,16657,0,0
1E+11,Cerner Corporation,18,16657,5,0.2778
1E+11,Piramal Critical Care,159,16657,1,0.0063
1E+11,"Wright Medical Technology, Inc.",4216,16657,6,0.0014
1E+11,"Cpm Medical Consultants, Llc",47,16657,0,0
1E+11,"Uromed, Inc.",1,16657,0,0
1E+11,Neovasc Medical Inc,2,16657,0,0
1E+11,"Bisco, Inc.",41,16657,0,0
1E+11,"Trinity Orthopedics, Llc",2,16657,0,0
1E+11,"Surgical Specialties Corporation (Us), Inc.",79,16657,1,0.0127
1E+11,"Synergy Orthopedics, Llc",6,16657,0,0
1E+11,Kalitec Direct Llc,6,16657,0,0
1E+11,"Inari Medical, Inc.",990,16657,41,0.0414
1E+11,"Nextstep Arthropedix, Llc",74,16657,1,0.0135
1E+11,Synergy Integrated Medical Solutions Llc,1,16657,0,0
1E+11,Amneal Pharmaceuticals Llc,3489,16657,168,0.0482
1E+11,Innovation Technologies Inc,180,16657,0,0
1E+11,Iridex Corporation,290,16657,5,0.0172
1E+11,"Clearflow, Inc.",97,16657,0,0
1E+11,"Dabir Surfaces, Inc.",4,16657,2,0.5
